,accessionType,authorString,citedByCount,doi,firstPublicationDate,hasBook,hasDbCrossReferences,hasLabsLinks,hasPDF,hasReferences,hasSuppl,hasTMAccessionNumbers,hasTextMinedTerms,id,inEPMC,inPMC,isOpenAccess,issue,journalIssn,journalTitle,journalVolume,pageInfo,pmcid,pmid,pubType,pubYear,source,title
0,,"Barua CC, Haloi P, Saikia B, Sulakhiya K, Pathak DC, Tamuli S, Rizavi H, Ren X.",0,10.1080/13880209.2017.1391298,2018-12-01,N,N,N,N,N,,N,N,29569964,N,N,N,1,1388-0209; 1744-5116; ,Pharm Biol,56,245-252,,29569964,journal article,2018,MED,Zanthoxylum alatum abrogates lipopolysaccharide-induced depression-like behaviours in mice by modulating neuroinflammation and monoamine neurotransmitters in the hippocampus.
1,,"McCombe G, Fogarty F, Swan D, Hannigan A, Fealy GM, Kyne L, Meagher D, Cullen W.",0,10.1080/13814788.2017.1402884,2018-12-01,N,N,Y,Y,Y,N,N,Y,29353511,Y,N,Y,1,1381-4788; 1751-1402; ,Eur J Gen Pract,24,84-91,PMC5795746,29353511,research-article; journal article; ,2018,MED,Identified mental disorders in older adults in primary care: A cross-sectional database study.
2,,"Myezwa H, Hanass-Hancock J, Ajidahun AT, Carpenter B.",0,10.1080/17290376.2018.1459813,2018-12-01,N,N,N,N,N,,N,N,29635976,N,N,N,1,1729-0376; 1813-4424; ,SAHARA J,15,50-59,,29635976,journal article,2018,MED,Disability and health outcomes - from a cohort of people on long-term anti-retroviral therapy.
3,,"Cooper JA, Arulpragasam AR, Treadway MT.",0,10.1016/j.cobeha.2018.01.024,2018-08-01,N,N,Y,N,N,,N,N,29503842,N,N,N,,2352-1546; 2352-1554; ,Curr Opin Behav Sci,22,128-135,,29503842,journal article,2018,MED,Anhedonia in depression: biological mechanisms and computational models.
4,,"Albert KM, Potter GG, McQuoid DR, Taylor WD.",0,10.1002/da.22747,2018-04-10,N,N,N,N,N,,N,N,29637661,N,N,N,,1091-4269; 1520-6394; ,Depress Anxiety,,,,29637661,journal article,2018,MED,Cognitive performance in antidepressant-free recurrent major depressive disorder.
5,,"Briggs R, Carey D, Kennelly SP, Kenny RA.",0,10.1161/hypertensionaha.117.10542,2018-04-09,N,N,Y,N,N,,N,N,29632103,N,N,N,5,0194-911x; 1524-4563; ,Hypertension,71,946-954,,29632103,journal article,2018,MED,Longitudinal Association Between Orthostatic Hypotension at 30 Seconds Post-Standing and Late-Life Depression.
6,,"Dardas LA, Silva SG, Scott J, Gondwe KW, Smoski MJ, Noonan D, Simmons LA.",0,10.1111/ppc.12270,2018-03-23,N,N,Y,N,N,,N,N,29570796,N,N,N,,0031-5990; 1744-6163; ,Perspect Psychiatr Care,,,,29570796,journal article,2018,MED,Do beliefs about depression etiologies influence the type and severity of depression stigma? The case of Arab adolescents.
7,,"Aguiñaga S, Ehlers DK, Salerno EA, Fanning J, Motl RW, McAuley E.",0,10.1123/jpah.2017-0390,2018-04-06,N,N,Y,N,N,,N,N,29625012,N,N,N,,1543-3080; 1543-5474; ,J Phys Act Health,,1-5,,29625012,journal article,2018,MED,Home-Based Physical Activity Program Improves Depression and Anxiety in Older Adults.
8,,"Gilsanz P, Schnaider Beeri M, Karter AJ, Quesenberry CP, Adams AS, Whitmer RA.",0,10.1080/13607863.2018.1455167,2018-04-10,N,N,N,N,N,,N,N,29634288,N,N,N,,1360-7863; 1364-6915; ,Aging Ment Health,,1-7,,29634288,journal article,2018,MED,Depression in type 1 diabetes and risk of dementia.
9,,"Arya S, Lee S, Zahner GJ, Cohen BE, Hiramoto J, Wolkowitz OM, Khakharia A, Binney ZO, Grenon SM.",0,10.1016/j.jvs.2017.10.092,2018-03-24,N,N,Y,N,N,,N,N,29588133,N,N,N,,0741-5214; 1097-6809; ,J Vasc Surg,,,,29588133,journal article,2018,MED,The association of comorbid depression with mortality and amputation in veterans with peripheral artery disease.
10,,"Rajkumar R, S Dawe G.",0,10.1016/j.jchemneu.2018.04.001,2018-04-07,N,N,N,N,N,,N,N,29635018,N,N,N,,0891-0618; 1873-6300; ,J Chem Neuroanat,,,,29635018,review; journal article; ,2018,MED,OBscure but not OBsolete: Perturbations of the frontal cortex in common between rodent olfactory bulbectomy model and major depression.
11,,"Lin PZ, Xue JM, Yang B, Li M, Cao FL.",0,10.1007/s00737-018-0835-0,2018-04-04,N,N,Y,N,N,,N,N,29616334,N,N,N,,1434-1816; 1435-1102; ,Arch Womens Ment Health,,,,29616334,review; journal article; ,2018,MED,Effectiveness of self-help psychological interventions for treating and preventing postpartum depression: a meta-analysis.
